Model,Accuracy,Precision,Recall,F1 Score,MCC,AUC
Logistic Regression,0.965,0.9650445632798573,0.965,0.9649863177272501,0.953357167560454,0.9986666666666667
Decision Tree,0.83,0.8318831447022742,0.83,0.830168476083014,0.7738106637983099,0.8866666666666667
KNN,0.5,0.521130101168955,0.5,0.5053550007497375,0.334992867030949,0.7697499999999999
Naive Bayes,0.81,0.8113261105197412,0.81,0.8104578013732255,0.7468035932115061,0.9505666666666668
Random Forest,0.88,0.8799379937993799,0.88,0.879946998674967,0.8400140003500097,0.9773833333333333
